location_id,date,temperature_avg_c,precipitation_mm,relative_humidity_pct,wind_speed_knots,visibility_km,is_hot,is_rainy,is_windy,is_low_visibility,weather_risk_score,weather_risk_level,recommended_action
KTTF,2021-11-27,-1.29,0.0,79.26,3.839,13.6032,False,False,False,False,0.0,Low,Normal operations
KTPH,2024-09-25,19.9,0.0,16.0792,8.88,16.744,False,False,False,False,0.0,Low,Normal operations
KTVC,2021-11-19,3.61,0.225,61.55,8.569,15.6222,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KMTC,2024-10-12,15.57,0.0,57.28,6.192,16.0994,False,False,False,False,0.0,Low,Normal operations
KMVY,2024-10-10,10.99,0.0,63.4768,7.722,16.905,False,False,False,False,0.0,Low,Normal operations
KMWN,2024-10-03,5.14,1.672,96.8186,21.06,0.1584,False,True,True,True,0.6499999999999999,High,Covered waiting & shuttle capacity; Secure temporary structures; Slower vehicle assumptions & staff guidance
KHUT,2020-04-24,13.15,0.0,76.602,9.68,15.617,False,False,False,False,0.0,Low,Normal operations
KNHK,2024-10-10,18.16,0.0,49.66,9.98,15.295,False,False,False,False,0.0,Low,Normal operations
KNJK,2024-10-14,27.7,0.0,18.6714,5.29,16.905,True,False,False,False,0.35,Medium,Add water points & shade
KNJK,2024-10-18,24.17,0.0,29.2941,16.254,15.3,True,False,False,False,0.35,Medium,Add water points & shade
KBAD,2021-01-23,9.56,0.0,79.9524,3.59,15.456,False,False,False,False,0.0,Low,Normal operations
KDCM,2024-02-18,3.7,0.0,48.3836,1.98,16.422,False,False,False,False,0.0,Low,Normal operations
KFLD,2024-06-02,18.51,3.654,77.8371,1.76,11.6325,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBAX,2021-01-15,1.4,0.0,93.6837,9.08,8.873,False,False,False,False,0.0,Low,Normal operations
KFLD,2024-06-11,14.87,0.0,57.34,4.29,15.456,False,False,False,False,0.0,Low,Normal operations
KFOA,2024-06-18,27.3,2.266,74.34,6.471,16.744,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KBIE,2023-06-15,23.7,0.0,50.0192,3.19,15.295,True,False,False,False,0.35,Medium,Add water points & shade
KHYX,2020-04-15,0.35,0.0,56.7224,7.59,16.0886,False,False,False,False,0.0,Low,Normal operations
KICL,2020-04-19,10.0,0.0,59.5287,7.68,16.744,False,False,False,False,0.0,Low,Normal operations
KDQH,2024-02-21,10.94,0.0,51.02,1.521,16.261,False,False,False,False,0.0,Low,Normal operations
KBIE,2021-01-29,-0.81,0.0,84.6524,6.88,13.9885,False,False,False,False,0.0,Low,Normal operations
KBIS,2021-01-04,0.23,0.0,60.3009,9.252,16.422,False,False,False,False,0.0,Low,Normal operations
KDUH,2024-02-22,9.34,5.863,70.88,4.49,11.1573,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBKL,2023-06-17,18.81,0.0,70.168,6.48,6.8676,False,False,False,False,0.0,Low,Normal operations
KOGD,2024-10-03,20.0,0.0,23.3988,5.29,16.1,False,False,False,False,0.0,Low,Normal operations
KOGD,2024-10-21,14.17,0.0,50.52,7.28,16.1,False,False,False,False,0.0,Low,Normal operations
KHYX,2022-04-29,6.87,0.0,47.5218,6.552,15.778,False,False,False,False,0.0,Low,Normal operations
KHZE,2022-04-04,6.1,2.2,80.2593,9.072,14.2176,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KHZE,2022-04-30,8.6,0.45,79.2296,14.96,16.744,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KOLZ,2024-10-20,18.7,0.0,44.5887,9.28,15.7806,False,False,False,False,0.0,Low,Normal operations
KDVP,2024-02-02,2.68,1.551,89.001,8.892,13.1575,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBJC,2021-06-14,26.3,0.909,37.3932,5.39,14.7105,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KDYA,2024-02-15,11.49,0.0,68.289,0.45,16.422,False,False,False,False,0.0,Low,Normal operations
KDYA,2024-02-17,10.14,2.97,71.5302,8.129,15.295,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBKL,2021-06-14,23.81,0.0,63.2907,6.28,16.583,False,False,False,False,0.0,Low,Normal operations
KBKS,2021-06-17,28.78,1.99,73.3462,6.028,14.8203,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KBOK,2022-06-22,26.48,34.87,32.4141,8.892,16.583,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KFZG,2024-06-17,27.58,0.04,70.9818,4.221,12.4936,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
K0CO,2024-07-01,6.5,2.695,76.3964,20.746,0.0,False,True,True,True,0.6499999999999999,High,Covered waiting & shuttle capacity; Secure temporary structures; Slower vehicle assumptions & staff guidance
K0VG,2024-07-12,24.4,0.0,59.9247,1.29,16.569,True,False,False,False,0.35,Medium,Add water points & shade
K1A9,2024-07-22,25.8,23.481,94.2038,0.95,16.5315,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
K08D,2021-12-28,-27.9,0.0,75.36,4.389,14.7599,False,False,False,False,0.0,Low,Normal operations
K4M9,2024-07-17,26.2,14.729,97.57,4.53,14.5248,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
K4M9,2024-07-28,27.4,0.0,97.6242,5.45,15.4544,True,False,False,False,0.35,Medium,Add water points & shade
K1V4,2021-12-24,-13.0,0.0,75.1036,0.0,15.617,False,False,False,False,0.0,Low,Normal operations
K1V6,2021-12-30,1.4,0.0,37.7487,9.79,16.583,False,False,False,False,0.0,Low,Normal operations
K3J7,2021-12-24,9.4,0.0,60.68,2.691,16.261,False,False,False,False,0.0,Low,Normal operations
K54J,2021-12-24,12.67,0.0,77.5127,0.9,14.6676,False,False,False,False,0.0,Low,Normal operations
KGFA,2022-08-21,26.42,0.0,32.2331,5.63,15.3024,True,False,False,False,0.35,Medium,Add water points & shade
KFKL,2023-11-20,2.41,0.0,73.7603,5.489,16.422,False,False,False,False,0.0,Low,Normal operations
KFKL,2023-11-30,2.35,0.0,67.5576,8.532,16.583,False,False,False,False,0.0,Low,Normal operations
KDYR,2023-01-30,2.56,17.864,99.0,9.009,7.0304,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KFYG,2024-08-01,27.8,4.6530000000000005,95.2834,1.49,16.0956,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KCZZ,2021-10-18,16.3,0.0,83.4918,6.59,11.985,False,False,False,False,0.0,Low,Normal operations
KDAA,2021-10-13,20.19,1.672,85.3794,1.1,16.422,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KACK,2021-12-28,5.46,1.143,82.3977,7.48,14.7965,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KADC,2021-12-07,-15.2,0.0,78.5763,2.86,14.5248,False,False,False,False,0.0,Low,Normal operations
KAEG,2021-12-09,6.44,0.0,42.0755,4.671,15.778,False,False,False,False,0.0,Low,Normal operations
KAEG,2021-12-23,6.16,0.0,29.4889,3.179,15.778,False,False,False,False,0.0,Low,Normal operations
KAFK,2021-12-19,-4.0,0.0,75.9108,7.568,16.583,False,False,False,False,0.0,Low,Normal operations
KBLH,2021-01-19,17.1,0.0,20.5073,11.858,15.456,False,False,False,False,0.0,Low,Normal operations
KUIN,2021-11-22,1.11,0.0,47.336,7.39,16.1,False,False,False,False,0.0,Low,Normal operations
KTMA,2023-09-26,21.91,0.0,97.2629,1.639,11.8728,False,False,False,False,0.0,Low,Normal operations
KTPF,2023-09-04,28.6,0.0,64.5923,6.369,14.9787,True,False,False,False,0.35,Medium,Add water points & shade
KUNV,2021-11-23,-1.0,0.0,64.478,6.651,15.295,False,False,False,False,0.0,Low,Normal operations
KUXL,2021-11-15,17.64,1.727,75.0092,5.07,12.152,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KUXL,2021-11-24,18.69,0.0,67.56,8.406,16.744,False,False,False,False,0.0,Low,Normal operations
KBWD,2022-06-13,34.74,0.0,25.8893,15.257,15.147,True,False,False,False,0.35,Medium,Add water points & shade
KBPI,2021-01-12,-12.0,0.0,77.0955,2.421,16.1,False,False,False,False,0.0,Low,Normal operations
KC29,2022-06-12,19.49,1.3,83.9512,4.75,10.4762,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KRTN,2022-11-02,8.51,0.0,35.1918,8.888,15.617,False,False,False,False,0.0,Low,Normal operations
KUIL,2023-09-03,17.1,0.25,71.58,5.929,16.4112,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KUIN,2024-09-04,19.39,0.0,55.36,3.89,15.4618,False,False,False,False,0.0,Low,Normal operations
KAPG,2021-12-07,7.04,0.561,48.5001,6.39,15.3066,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KAPG,2021-12-10,5.65,0.0,67.9873,2.64,12.3648,False,False,False,False,0.0,Low,Normal operations
KBPC,2021-06-03,21.0,0.0,61.7279,2.061,16.744,False,False,False,False,0.0,Low,Normal operations
KBVE,2021-01-02,9.07,1.122,71.2264,5.19,16.1,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBVY,2021-01-31,-10.2,0.0,53.6895,4.29,15.778,False,False,False,False,0.0,Low,Normal operations
KCEZ,2022-06-09,20.73,0.0,19.91,6.372,16.1,True,False,False,False,0.35,Medium,Add water points & shade
KBUU,2021-06-06,27.4,0.0,48.0392,10.428,16.1,True,False,False,False,0.35,Medium,Add water points & shade
KBUU,2021-06-17,21.19,0.0,44.7958,5.48,15.456,True,False,False,False,0.35,Medium,Add water points & shade
KBVE,2021-06-12,28.53,0.0,72.8442,7.249,15.78,True,False,False,False,0.35,Medium,Add water points & shade
KRTN,2022-11-10,9.5,0.0,30.7343,14.36,15.456,False,False,False,False,0.0,Low,Normal operations
KUNI,2024-09-17,19.15,0.319,66.1146,1.54,16.422,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KUXL,2023-09-08,30.86,7.082999999999999,72.5075,5.269,15.4326,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KIWI,2020-04-15,3.85,0.0,56.31,3.141,16.583,False,False,False,False,0.0,Low,Normal operations
KIJD,2022-04-18,6.21,0.0,52.6554,4.279,16.261,False,False,False,False,0.0,Low,Normal operations
KIJD,2022-04-22,7.83,0.0,50.803,6.99,15.617,False,False,False,False,0.0,Low,Normal operations
KVIH,2024-09-02,19.98,0.0,62.41,6.651,16.905,False,False,False,False,0.0,Low,Normal operations
KVLD,2023-09-01,27.4,0.0,85.9611,3.681,11.904,True,False,False,False,0.35,Medium,Add water points & shade
KVIH,2024-09-20,28.46,0.0,63.1917,7.68,16.905,True,False,False,False,0.35,Medium,Add water points & shade
KJGG,2020-04-23,11.52,0.0,65.89,3.839,16.905,False,False,False,False,0.0,Low,Normal operations
KJKJ,2020-04-05,1.89,0.0,70.1989,8.68,15.939,False,False,False,False,0.0,Low,Normal operations
KASN,2023-07-06,27.24,9.32,84.3744,2.42,15.939,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KJVW,2020-04-01,13.8,0.0,81.855,1.54,15.4191,False,False,False,False,0.0,Low,Normal operations
KEZF,2024-02-02,8.96,0.0,66.2805,5.379,16.422,False,False,False,False,0.0,Low,Normal operations
KCIN,2022-06-06,19.7,25.41,95.6578,6.028,12.084,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KEDN,2023-01-18,19.26,0.0,89.0703,5.137,8.82,False,False,False,False,0.0,Low,Normal operations
KEDN,2023-01-20,10.2,0.0,59.2476,2.992,15.939,False,False,False,False,0.0,Low,Normal operations
KEDN,2023-01-27,5.44,0.0,66.6719,2.035,16.422,False,False,False,False,0.0,Low,Normal operations
KASN,2023-07-30,27.29,15.021,81.64,2.0,15.4618,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KDMO,2022-03-02,18.15,0.0,31.01,9.522,16.261,False,False,False,False,0.0,Low,Normal operations
KGNT,2022-08-23,20.66,0.0,55.54,3.29,15.456,False,False,False,False,0.0,Low,Normal operations
KERY,2023-01-16,-0.24,0.225,68.2255,8.08,14.6761,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KDNS,2022-03-17,11.5,0.0,59.92,10.648,15.1488,False,False,False,False,0.0,Low,Normal operations
KDRM,2022-03-16,1.04,1.507,85.7189,4.169,15.1488,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KPBX,2024-10-30,18.81,0.0,58.2063,0.0,16.1,False,False,False,False,0.0,Low,Normal operations
KISW,2022-04-08,0.93,3.355,79.0911,10.593,11.59,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KPHL,2024-10-10,13.11,0.0,45.4206,9.08,15.456,False,False,False,False,0.0,Low,Normal operations
KPHN,2024-10-13,10.6,0.0,93.5446,3.509,15.7692,False,False,False,False,0.0,Low,Normal operations
KPHN,2024-10-24,6.4,0.0,66.2186,2.2,15.2813,False,False,False,False,0.0,Low,Normal operations
KJYM,2020-04-01,4.1,0.45,84.3094,4.131,13.3095,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KIWI,2022-04-21,4.37,0.0,66.2898,5.09,16.583,False,False,False,False,0.0,Low,Normal operations
KGUP,2024-06-28,20.68,18.15,49.5018,5.88,15.939,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KBPI,2023-06-17,9.98,0.0,65.72,4.401,16.583,False,False,False,False,0.0,Low,Normal operations
KCEZ,2021-01-15,-0.19,0.0,35.853,7.011,15.295,False,False,False,False,0.0,Low,Normal operations
KBTL,2023-06-08,16.61,0.0,44.0562,6.809,13.9104,False,False,False,False,0.0,Low,Normal operations
KDWH,2022-03-26,19.94,0.0,50.89,4.041,15.1514,True,False,False,False,0.35,Medium,Add water points & shade
KDWU,2022-03-02,9.03,0.0,56.1,2.79,15.295,False,False,False,False,0.0,Low,Normal operations
KFOE,2023-11-14,10.36,0.0,52.06,6.908,15.456,False,False,False,False,0.0,Low,Normal operations
KFSD,2023-11-19,6.19,0.25,63.44,4.499,16.583,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KFSD,2023-11-28,-1.92,0.0,66.23,6.248,16.1,False,False,False,False,0.0,Low,Normal operations
KDXX,2022-03-31,-0.5,0.0,78.5797,15.354,16.1,False,False,False,False,0.0,Low,Normal operations
KDYR,2022-03-15,15.35,0.231,48.951,5.39,16.422,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KDYR,2022-03-22,15.77,40.761,65.6702,8.008,13.7904,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KEWB,2023-01-03,5.03,0.0,97.8714,3.729,11.2014,False,False,False,False,0.0,Low,Normal operations
KDKX,2021-10-21,14.8,1.672,86.55,6.369,15.4638,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KFKA,2024-02-01,5.25,0.0,87.563,6.732,8.2026,False,False,False,False,0.0,Low,Normal operations
KGYH,2024-06-15,27.2,0.08,59.38,4.39,15.778,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KPMV,2024-10-12,18.12,0.0,52.1901,4.69,15.939,False,False,False,False,0.0,Low,Normal operations
KJDD,2022-04-10,22.5,0.0,48.0348,8.892,16.1,False,False,False,False,0.0,Low,Normal operations
KLCK,2020-04-08,17.5,9.17,68.409,5.652,15.778,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KLHQ,2020-04-09,8.15,0.72,64.515,12.47,15.4326,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KPPA,2024-10-02,23.78,0.0,33.44,10.18,16.583,True,False,False,False,0.35,Medium,Add water points & shade
KPPA,2024-10-13,22.81,0.0,32.1846,7.68,16.1,True,False,False,False,0.35,Medium,Add water points & shade
KFAR,2023-01-10,-9.9,0.0,90.9909,4.279,1.0961,False,False,False,True,0.2,Low,Slower vehicle assumptions & staff guidance
KEIK,2022-03-15,9.29,0.0,31.5625,3.289,16.744,False,False,False,False,0.0,Low,Normal operations
KDTA,2021-10-12,2.2,1.55,95.2026,11.07,13.1144,False,True,False,False,0.3,Medium,Covered waiting & shuttle capacity
KFYG,2023-11-21,7.5,0.0,93.3341,7.689,11.5968,False,False,False,False,0.0,Low,Normal operations
KGDV,2024-08-13,19.8,0.207,64.4059,6.68,16.1,True,True,False,False,0.6499999999999999,High,Add water points & shade; Covered waiting & shuttle capacity
KBVE,2023-06-23,29.34,0.0,61.8278,3.289,16.422,True,False,False,False,0.35,Medium,Add water points & shade
KBVE,2023-06-30,33.25,0.0,61.6241,3.09,15.456,True,False,False,False,0.35,Medium,Add water points & shade
KFLD,2024-02-10,1.44,0.0,65.7186,10.413,16.261,False,False,False,False,0.0,Low,Normal operations
KBFM,2023-07-02,30.36,0.0,62.34,4.311,15.295,True,False,False,False,0.35,Medium,Add water points & shade
