brand,total_visits,record_count,unique_stores,mean_daily_visits,earliest_date,latest_date,data_type
InterContinental Hotels & Resorts,10023488,9135,5,1097.26,2020-01-01,2024-12-31,derived
Turner's Outdoorsman,10016524,12789,7,783.21,2020-01-01,2024-12-31,derived
El Pollo Regio,9971251,20097,11,496.16,2020-01-01,2024-12-31,derived
Valvoline Express Care,9960422,51259,41,194.32,2020-01-01,2024-12-31,derived
Sharp Shopper,9955960,3654,2,2724.67,2020-01-01,2024-12-31,derived
Godfather's Pizza,9935706,33679,20,295.01,2020-01-01,2024-12-31,derived
Johnny Rockets,9934599,20424,20,486.42,2020-01-01,2024-12-31,derived
TCBY,9929968,14828,12,669.68,2020-01-01,2024-12-31,derived
Gracie Barra,9907390,68241,41,145.18,2020-01-01,2024-12-31,derived
Watermill Express,9900402,306844,172,32.27,2020-01-01,2024-12-31,derived
Sylvan Learning,9887692,73053,51,135.35,2020-01-01,2024-12-31,derived
Gucci,9879307,30054,23,328.72,2020-01-01,2024-12-31,derived
Amato's,9857668,6855,6,1438.03,2020-01-01,2024-12-31,derived
The Paper Store,9796591,22014,14,445.02,2020-01-01,2024-12-31,derived
Uncle Giuseppe's,9792645,3654,2,2679.98,2020-01-01,2024-12-31,derived
Pak N Save,9786278,2923,2,3348.03,2020-01-01,2024-12-31,derived
My Gym Children's Fitness Centers,9775388,45734,27,213.74,2020-01-01,2024-12-31,derived
Clarion,9736129,16960,15,574.06,2020-01-01,2024-12-31,derived
P. Terrys,9721263,3960,3,2454.86,2020-01-01,2024-12-31,derived
Von Maur,9715702,3654,2,2658.92,2020-01-01,2024-12-31,derived
Petland,9699272,20428,14,474.8,2020-01-01,2024-12-31,derived
Joe's Crab Shack,9665979,9013,5,1072.45,2020-01-01,2024-12-31,derived
Tommy Bahama,9654811,13308,8,725.49,2020-01-01,2024-12-31,derived
Rooms To Go,9634893,39338,22,244.93,2020-01-01,2024-12-31,derived
Vulcan Materials Company,9623903,96831,53,99.39,2020-01-01,2024-12-31,derived
Talpa Super Mercados,9615324,4935,4,1948.39,2020-01-01,2024-12-31,derived
Elevation Burger,9614765,4870,3,1974.28,2020-01-01,2024-12-31,derived
Johnson Fitness & Wellness,9580059,19855,13,482.5,2020-01-01,2024-12-31,derived
Living Spaces,9550041,13430,9,711.1,2020-01-01,2024-12-31,derived
Metro Diner,9547635,7400,5,1290.22,2020-01-01,2024-12-31,derived
Just Love Coffee Cafe,9543148,9135,5,1044.68,2020-01-01,2024-12-31,derived
Bar Louie,9504514,10809,6,879.31,2020-01-01,2024-12-31,derived
honeygrow,9503539,5056,4,1879.66,2020-01-01,2024-12-31,derived
Thorntons,9490968,3654,2,2597.42,2020-01-01,2024-12-31,derived
Express Oil Change,9437111,33376,20,282.75,2020-01-01,2024-12-31,derived
Yoshinoya,9400562,27405,15,343.02,2020-01-01,2024-12-31,derived
JD Sports,9398582,21154,32,444.29,2020-01-01,2024-12-31,derived
Westside Pizza,9370617,14251,11,657.54,2020-01-01,2024-12-31,derived
Dandy Mini Marts,9314487,25730,15,362.01,2020-01-01,2024-12-31,derived
Kuhn's Quality Food,9297826,1827,1,5089.12,2020-01-01,2024-12-31,derived
WeWork,9280633,71551,58,129.71,2020-01-01,2024-12-31,derived
Stir Fry 88,9239500,7308,4,1264.3,2020-01-01,2024-12-31,derived
ThunderCloud Subs,9209506,10262,6,897.44,2020-01-01,2024-12-31,derived
Petro-Mart,9205210,16443,9,559.83,2020-01-01,2024-12-31,derived
Blimpie,9199875,26092,16,352.59,2020-01-01,2024-12-31,derived
Chico's,9185979,92992,54,98.78,2020-01-01,2024-12-31,derived
Dylan's Candy Bar,9179379,7093,8,1294.15,2020-01-01,2024-12-31,derived
Fifth Third Bank,9173201,79327,50,115.64,2020-01-01,2024-12-31,derived
Grimaldi's,9158532,6153,4,1488.47,2020-01-01,2024-12-31,derived
Hyatt Place,9158267,52983,29,172.85,2020-01-01,2024-12-31,derived
Tutti Frutti,9155316,30871,23,296.57,2020-01-01,2024-12-31,derived
Modern Market,9150082,5787,4,1581.14,2020-01-01,2024-12-31,derived
E-Z Mart,9139499,34713,19,263.29,2020-01-01,2024-12-31,derived
Amazon Fresh,9136226,5850,6,1561.75,2020-01-01,2024-12-31,derived
Spin! Neapolitan Pizza,9125798,6061,4,1505.66,2020-01-01,2024-12-31,derived
Robeks,9122208,13793,10,661.37,2020-01-01,2024-12-31,derived
Lovisa,9089458,40194,23,226.14,2020-01-01,2024-12-31,derived
Burn Boot Camp,9086272,42514,30,213.72,2020-01-01,2024-12-31,derived
Tatte Bakery,9079446,7674,6,1183.14,2020-01-01,2024-12-31,derived
Uncle Julio's,9065611,4966,4,1825.54,2020-01-01,2024-12-31,derived
Nothing Bundt Cakes,9001444,78371,62,114.86,2020-01-01,2024-12-31,derived
Mamoun's Falafel,8995265,3867,3,2326.16,2020-01-01,2024-12-31,derived
Speedy Stop,8985773,4112,3,2185.26,2020-01-01,2024-12-31,derived
Footaction,8984532,20790,30,432.16,2020-01-01,2022-03-31,derived
Holiday Hair,8982955,46006,28,195.26,2020-01-01,2024-12-31,derived
Vocelli Pizza,8977180,7553,5,1188.56,2020-01-01,2024-12-31,derived
Bubba Gump Shrimp,8958025,5481,3,1634.38,2020-01-01,2024-12-31,derived
TOBU,8953233,5297,3,1690.25,2020-01-01,2024-12-31,derived
Niyjia Market,8923251,3654,2,2442.05,2020-01-01,2024-12-31,derived
Cotton On,8915556,30778,27,289.67,2020-01-01,2024-12-31,derived
America's Best Contacts & Eyeglasses,8913838,176507,120,50.5,2020-01-01,2024-12-31,derived
Motion Industries,8908797,45039,35,197.8,2020-01-01,2024-12-31,derived
Conn's,8872277,34378,19,258.08,2020-01-01,2024-12-31,derived
Urban Air Trampoline Park,8870334,32341,21,274.28,2020-01-01,2024-12-31,derived
Jack's Family Restaurants,8829418,6094,5,1448.87,2020-01-01,2024-12-31,derived
Quiznos,8823875,12999,18,678.81,2020-01-01,2024-12-31,derived
C and R Market,8821122,9135,5,965.64,2020-01-01,2024-12-31,derived
The Tire Choice & Total Car Care,8820961,67205,38,131.25,2020-01-01,2024-12-31,derived
Edwards Theatres,8799812,12545,7,701.46,2020-01-01,2024-12-31,derived
Pizza Guys,8785556,29845,18,294.37,2020-01-01,2024-12-31,derived
Tiger Sugar,8785505,9501,6,924.69,2020-01-01,2024-12-31,derived
Shakey's,8761672,16443,9,532.85,2020-01-01,2024-12-31,derived
Crossroads Trading,8758935,14862,10,589.35,2020-01-01,2024-12-31,derived
TACO DEL MAR,8751875,12789,7,684.33,2020-01-01,2024-12-31,derived
Subaru,8713146,84589,47,103.01,2020-01-01,2024-12-31,derived
National Tire & Battery (NTB),8695033,42629,24,203.97,2020-01-01,2024-12-31,derived
Twin Liquors,8683132,40288,23,215.53,2020-01-01,2024-12-31,derived
Condado Tacos,8670260,3654,2,2372.81,2020-01-01,2024-12-31,derived
Houlihan's Restaurants,8653221,5543,5,1561.11,2020-01-01,2024-12-31,derived
Go Loco Street Tacos & Burritos,8648947,6150,4,1406.33,2020-01-01,2024-12-31,derived
Gus's Fried Chicken,8644667,6882,5,1256.13,2020-01-01,2024-12-31,derived
Miguel's Jr,8610337,7492,5,1149.27,2020-01-01,2024-12-31,derived
Fish City Grill,8601577,7827,7,1098.96,2020-01-01,2024-12-31,derived
American Freight,8584633,60590,39,141.68,2020-01-01,2024-10-31,derived
Altar'd State,8578099,19517,11,439.52,2020-01-01,2024-12-31,derived
Dirt Cheap,8564388,7210,5,1187.85,2020-01-01,2024-11-30,derived
Home Outlet,8558872,23873,14,358.52,2020-01-01,2024-12-31,derived
El Río Grande,8558160,6670,5,1283.08,2020-01-01,2024-12-31,derived
La Granja,8557043,16996,12,503.47,2020-01-01,2024-12-31,derived
Mercurys Coffee,8553831,3654,2,2340.95,2020-01-01,2024-12-31,derived
King Taco Restaurants,8548646,7308,4,1169.77,2020-01-01,2024-12-31,derived
Miracle-Ear,8503196,214124,127,39.71,2020-01-01,2024-12-31,derived
Northgate González Markets,8501421,9015,6,943.03,2020-01-01,2024-12-31,derived
MBT,8491293,14616,8,580.96,2020-01-01,2024-12-31,derived
Santander Bank,8485078,124030,86,68.41,2020-01-01,2024-12-31,derived
Guitar Center,8474853,57096,34,148.43,2020-01-01,2024-12-31,derived
Rooms To Go: Kids,8470260,18270,10,463.62,2020-01-01,2024-12-31,derived
City Furniture,8448676,11662,7,724.46,2020-01-01,2024-12-31,derived
Tire Kingdom,8432697,73869,43,114.16,2020-01-01,2024-12-31,derived
Black Angus Steakhouse,8342915,15072,9,553.54,2020-01-01,2024-12-31,derived
Advance America,8323096,204888,158,40.62,2020-01-01,2024-12-31,derived
Mister Car Wash,8312875,97088,62,85.62,2020-01-01,2024-12-31,derived
Skippers,8305968,32947,19,252.1,2020-01-01,2024-12-31,derived
It's Boba Time,8303941,30182,22,275.13,2020-01-01,2024-12-31,derived
Ethan Allen,8297971,32979,22,251.61,2020-01-01,2024-12-31,derived
ShopRite Wine & Spirits,8297633,17325,10,478.94,2020-01-01,2024-12-31,derived
EoS Fitness,8292966,9903,10,837.42,2020-01-01,2024-12-31,derived
uBreakiFix,8288312,122028,81,67.92,2020-01-01,2024-12-31,derived
Gyu-Kaku,8285473,21710,12,381.64,2020-01-01,2024-12-31,derived
Clean Juice,8241330,18603,20,443.01,2020-01-01,2024-12-31,derived
Hopdoddy Burger Bar,8237806,12032,9,684.66,2020-01-01,2024-12-31,derived
FinishMaster,8232069,45245,28,181.94,2020-01-01,2024-12-31,derived
Hard Rock Cafe,8232058,5115,3,1609.4,2020-01-01,2024-12-31,derived
Bomgaars,8229853,10283,14,800.34,2021-03-01,2024-12-31,derived
MAACO,8225473,94932,59,86.65,2020-01-01,2024-12-31,derived
Black Bear Diner,8219745,42784,27,192.12,2020-01-01,2024-12-31,derived
Texas de Brazil,8211639,13063,8,628.62,2020-01-01,2024-12-31,derived
Claim Jumper Restaurants,8190563,7429,6,1102.51,2020-01-01,2024-12-31,derived
Clarks,8175286,29813,21,274.22,2020-01-01,2024-12-31,derived
Old Chicago Pizza and Taproom,8157298,6820,4,1196.08,2020-01-01,2024-12-31,derived
Thrifty Car Rental International,8157067,140679,77,57.98,2020-01-01,2024-12-31,derived
Pizza Factory,8150875,29386,19,277.37,2020-01-01,2024-12-31,derived
Pita Pit,8145655,11689,9,696.87,2020-01-01,2024-12-31,derived
Value City Furniture,8128739,5481,3,1483.08,2020-01-01,2024-12-31,derived
Hy-Vee Fast & Fresh,8128699,14616,8,556.15,2020-01-01,2024-12-31,derived
DoubleDave's Pizzaworks,8127766,18335,14,443.29,2020-01-01,2024-12-31,derived
Buds Chicken & Seafood,8089301,3654,2,2213.82,2020-01-01,2024-12-31,derived
Cambria Suites,8033759,9684,7,829.59,2020-01-01,2024-12-31,derived
Rosewood Hotels and Resorts,8027875,3654,2,2197.01,2020-01-01,2024-12-31,derived
Erewhon Natural Foods,8027629,4416,4,1817.85,2020-01-01,2024-12-31,derived
Juice It Up!,8019097,29420,21,272.57,2020-01-01,2024-12-31,derived
Kona Grill,8012558,3654,2,2192.82,2020-01-01,2024-12-31,derived
James Avery Craftsman,8008427,22266,19,359.67,2020-01-01,2024-12-31,derived
JuiceLand,7979923,17508,10,455.79,2020-01-01,2024-12-31,derived
Sun & Ski Sports,7978741,9135,5,873.43,2020-01-01,2024-12-31,derived
Buca di Beppo,7974670,15984,9,498.92,2020-01-01,2024-12-31,derived
Liberty Tax Service,7946110,393706,282,20.18,2020-01-01,2024-12-31,derived
The Capital Grille,7942887,7187,5,1105.17,2020-01-01,2024-12-31,derived
Port of Subs,7916208,17386,10,455.32,2020-01-01,2024-12-31,derived
9Round,7861890,72794,53,108.0,2020-01-01,2024-12-31,derived
Arden's Garden,7860915,10506,6,748.23,2020-01-01,2024-12-31,derived
Reebok,7829627,21924,12,357.13,2020-01-01,2024-12-31,derived
Your Wireless,7826204,25159,25,311.07,2020-01-01,2024-12-31,derived
Z Ultimate Self Defense Studios,7822375,18632,11,419.84,2020-01-01,2024-12-31,derived
Sellers Bros.,7811571,5481,3,1425.21,2020-01-01,2024-12-31,derived
Shoe Palace,7798897,30395,21,256.58,2020-01-01,2024-12-31,derived
Greer's,7772790,3654,2,2127.2,2020-01-01,2024-12-31,derived
Wyndham,7754273,4781,5,1621.89,2020-01-01,2024-12-31,derived
Parker Hannifin,7719873,61270,37,126.0,2020-01-01,2024-12-31,derived
Cowboy Chicken,7718193,5481,3,1408.17,2020-01-01,2024-12-31,derived
Market District,7703119,3074,2,2505.89,2020-01-01,2024-12-31,derived
Sizzler,7698284,16988,12,453.16,2020-01-01,2024-12-31,derived
Champs Chicken,7692914,35807,25,214.84,2020-01-01,2024-12-31,derived
Eddie V's Prime Seafood,7692283,9471,6,812.19,2020-01-01,2024-12-31,derived
Lone Star Food Stores,7687638,3654,2,2103.9,2020-01-01,2024-12-31,derived
Gelson's Markets,7662364,3654,2,2096.98,2020-01-01,2024-12-31,derived
World of Beer,7615312,9499,7,801.7,2020-01-01,2024-12-31,derived
Quick Fuel,7605492,29232,16,260.18,2020-01-01,2024-12-31,derived
Spring Market,7594410,9258,7,820.31,2020-01-01,2024-12-31,derived
Propel Fuels,7576142,10962,6,691.13,2020-01-01,2024-12-31,derived
"Going, Going, Gone!",7552731,7369,5,1024.93,2020-01-01,2024-12-31,derived
Kincaid Furniture,7550865,29232,16,258.31,2020-01-01,2024-12-31,derived
Wahoo's Fish Taco,7537634,14160,9,532.32,2020-01-01,2024-12-31,derived
Fatburger,7504414,23690,13,316.78,2020-01-01,2024-12-31,derived
Tradehome Shoes,7499982,9135,5,821.02,2020-01-01,2024-12-31,derived
Vivi Bubble Tea,7494884,11084,7,676.19,2020-01-01,2024-12-31,derived
Century 21 Real Estate,7488200,298585,173,25.08,2020-01-01,2024-12-31,derived
Slapfish,7469473,8372,5,892.2,2020-01-01,2024-12-31,derived
Asian Chao,7465729,1827,1,4086.33,2020-01-01,2024-12-31,derived
Old Time Pottery,7461401,9528,6,783.1,2020-01-01,2024-12-31,derived
Kilwins,7444269,19156,13,388.61,2020-01-01,2024-12-31,derived
Russell Cellular,7440710,119587,80,62.22,2020-01-01,2024-12-31,derived
Kmart,7437454,3955,4,1880.52,2020-01-01,2023-09-30,derived
Pressed Juicery,7415304,31757,23,233.5,2020-01-01,2024-12-31,derived
The Original Pancake House,7389039,9322,8,792.65,2020-01-01,2024-12-31,derived
Express Factory Outlet,7382564,41807,23,176.59,2020-01-01,2024-12-31,derived
Big Saver Foods,7366006,5481,3,1343.92,2020-01-01,2024-12-31,derived
Safelite,7352361,95905,69,76.66,2020-01-01,2024-12-31,derived
Cantina Laredo,7349370,6058,4,1213.17,2020-01-01,2024-12-31,derived
Kolache Factory,7335937,29324,18,250.17,2020-01-01,2024-12-31,derived
TacoTime,7316779,4994,5,1465.11,2020-01-01,2024-12-31,derived
University of Phoenix,7295558,3711,4,1965.93,2020-01-01,2024-02-29,derived
Label Shopper,7289095,10962,6,664.94,2020-01-01,2024-12-31,derived
Snooze Eatery,7287327,10354,7,703.82,2020-01-01,2024-12-31,derived
Burger Lounge,7276634,11480,8,633.85,2020-01-01,2024-12-31,derived
GoWireless,7268414,55615,77,130.69,2020-01-01,2022-03-31,derived
Tesla Motors,7258154,43830,40,165.6,2020-01-01,2024-12-31,derived
Rock N' Roll Sushi,7257153,9135,5,794.43,2020-01-01,2024-12-31,derived
NrGize Lifestyle Cafe,7245064,24176,15,299.68,2020-01-01,2024-12-31,derived
Byrne Dairy,7228678,27532,18,262.56,2020-01-01,2024-12-31,derived
Pizza Joe's,7217228,5481,3,1316.77,2020-01-01,2024-12-31,derived
Gerbes Super Markets,7215052,1827,1,3949.13,2020-01-01,2024-12-31,derived
GARAGE,7196673,23846,17,301.8,2020-01-01,2024-12-31,derived
Logan's Roadhouse,7191374,5906,4,1217.64,2020-01-01,2024-12-31,derived
IBC Bank,7159691,48052,29,149.0,2020-01-01,2024-12-31,derived
Nation's Giant Hamburgers,7144597,22138,14,322.73,2020-01-01,2024-12-31,derived
Kane's Furniture,7137511,12789,7,558.1,2020-01-01,2024-12-31,derived
Papa Gino's,7137134,25639,15,278.37,2020-01-01,2024-12-31,derived
Express Parking,7122055,3654,2,1949.11,2020-01-01,2024-12-31,derived
Knight-Swift,7117332,20943,13,339.84,2020-01-01,2024-12-31,derived
Sprinkles,7110715,3654,2,1946.01,2020-01-01,2024-12-31,derived
City Blue,7103808,9833,6,722.45,2020-01-01,2024-12-31,derived
Met Foodmarkets,7102144,7825,6,907.62,2020-01-01,2024-12-31,derived
Oil Changer,7100069,29031,24,244.57,2020-01-01,2024-12-31,derived
The Exchange,7099311,14532,14,488.53,2020-01-01,2024-12-31,derived
Under Armour,7089951,32306,18,219.46,2020-01-01,2024-12-31,derived
Mollie Stone's Market,7088550,1827,1,3879.89,2020-01-01,2024-12-31,derived
Mr. Tire,7059001,52952,29,133.31,2020-01-01,2024-12-31,derived
Paper Source,7054927,31237,23,225.85,2020-01-01,2024-12-31,derived
Regal Nails Salon & Spa,7049726,135423,91,52.06,2020-01-01,2024-12-31,derived
Ojos Locos,7048070,5330,4,1322.34,2020-01-01,2024-12-31,derived
Veggie Grill,7036946,11779,10,597.41,2020-01-01,2024-12-31,derived
Carrot Express,7021122,14616,8,480.37,2020-01-01,2024-12-31,derived
Plaza Azteca Restaurants,7018167,5939,4,1181.71,2020-01-01,2024-12-31,derived
Great Wraps Grill,7016365,7155,4,980.62,2020-01-01,2024-12-31,derived
Sweet Paris Creperie & Cafe,7015473,5481,3,1279.96,2020-01-01,2024-12-31,derived
Cafe Rio,7013173,3654,2,1919.31,2020-01-01,2024-12-31,derived
Vitality Bowls,7004848,21863,12,320.4,2020-01-01,2024-12-31,derived
Sierra,6999746,5789,7,1209.15,2020-01-01,2024-12-31,derived
Snappy Salads,6998904,6638,4,1054.37,2020-01-01,2024-12-31,derived
West Fraser Timber Co. Ltd.,6988531,7308,4,956.29,2020-01-01,2024-12-31,derived
Cruisin Coffee,6957936,7155,4,972.46,2020-01-01,2024-12-31,derived
Mimi's Cafe,6946799,8924,8,778.44,2020-01-01,2024-12-31,derived
J. Alexander's,6942233,5300,5,1309.86,2020-01-01,2024-12-31,derived
Jockey,6927379,14858,9,466.24,2020-01-01,2024-12-31,derived
Urban Plates,6910960,5424,5,1274.14,2020-01-01,2024-12-31,derived
Joe V's Smart Shop,6895000,7308,4,943.49,2020-01-01,2024-12-31,derived
StretchLab,6885716,47449,54,145.12,2020-01-01,2024-12-31,derived
Cash America,6884253,138515,80,49.7,2020-01-01,2024-12-31,derived
Atlanta Bread,6878356,5632,5,1221.3,2020-01-01,2024-12-31,derived
Bob's Discount Furniture,6868103,28385,19,241.96,2020-01-01,2024-12-31,derived
Delta Hotels,6864533,6059,4,1132.95,2020-01-01,2024-12-31,derived
Fairmont Hotels & Resorts,6855896,5695,4,1203.84,2020-01-01,2024-12-31,derived
Marylou's Coffe,6854494,18150,12,377.66,2020-01-01,2024-12-31,derived
Case IH,6848467,63915,36,107.15,2020-01-01,2024-12-31,derived
Lexus,6816977,43848,24,155.47,2020-01-01,2024-12-31,derived
SNAP Custom Pizza,6790280,3654,2,1858.31,2020-01-01,2024-12-31,derived
Buffalo Exchange,6788210,11174,7,607.5,2020-01-01,2024-12-31,derived
CPR Cell Phone Repair,6759754,75912,56,89.05,2020-01-01,2024-12-31,derived
Volkswagen,6752053,68942,42,97.94,2020-01-01,2024-12-31,derived
SiteOne Landscape Supply,6736131,109512,69,61.51,2020-01-01,2024-12-31,derived
Drybar,6735881,36723,26,183.42,2020-01-01,2024-12-31,derived
Brooks Brothers,6714327,43085,33,155.84,2020-01-01,2024-12-31,derived
The Taco Stand,6700652,1827,1,3667.57,2020-01-01,2024-12-31,derived
Pizza Patrón,6693358,21529,13,310.9,2020-01-01,2024-12-31,derived
Avis Rent A Car,6693144,270507,177,24.74,2020-01-01,2024-12-31,derived
Jared Jewelers,6692754,42021,23,159.27,2020-01-01,2024-12-31,derived
Oakley,6664907,37667,21,176.94,2020-01-01,2024-12-31,derived
The Big Biscuit,6649184,5481,3,1213.13,2020-01-01,2024-12-31,derived
Wayfield,6639535,1827,1,3634.12,2020-01-01,2024-12-31,derived
Soulman's Barbque,6626131,16261,9,407.49,2020-01-01,2024-12-31,derived
Tumi,6615920,42842,24,154.43,2020-01-01,2024-12-31,derived
Jenny Craig,6602491,72581,68,90.97,2020-01-01,2023-04-30,derived
Temple Coffee,6601464,5481,3,1204.43,2020-01-01,2024-12-31,derived
Kwik Chek now TXB,6596256,14709,12,448.45,2020-01-01,2024-12-31,derived
Morgan Stanley,6589187,78389,57,84.06,2020-01-01,2024-12-31,derived
Rocky Mountain Chocolate,6580127,22689,19,290.01,2020-01-01,2024-12-31,derived
America's Food Basket,6547481,6488,5,1009.17,2020-01-01,2024-12-31,derived
Autograph Collection Hotels,6546602,24610,17,266.01,2020-01-01,2024-12-31,derived
Mad Mex,6537848,2527,2,2587.2,2020-01-01,2024-12-31,derived
Eggs Up Grill,6516142,6215,5,1048.45,2020-01-01,2024-12-31,derived
Emerald City Smoothie,6503887,9135,5,711.97,2020-01-01,2024-12-31,derived
Chao Cajun,6500759,3286,2,1978.32,2020-01-01,2024-06-30,derived
Roberto's Taco Shop,6495350,7553,5,859.97,2020-01-01,2024-12-31,derived
SalonCentric,6482485,92611,58,70.0,2020-01-01,2024-12-31,derived
Ray's Food Place,6479396,3654,2,1773.23,2020-01-01,2024-12-31,derived
VP Racing Fuels,6476097,32278,20,200.64,2020-01-01,2024-12-31,derived
Fit Body Boot Camp,6475028,30143,23,214.81,2020-01-01,2024-12-31,derived
Studio 6,6461798,49738,46,129.92,2020-01-01,2024-12-31,derived
Trustco Bank,6458816,60409,36,106.92,2020-01-01,2024-12-31,derived
Kendra Scott,6457151,20100,15,321.25,2020-01-01,2024-12-31,derived
Sesame Place,6456947,3654,2,1767.09,2020-01-01,2024-12-31,derived
Lassens Natural Foods and Vitamins,6450349,5481,3,1176.86,2020-01-01,2024-12-31,derived
Palm Beach Tan,6447316,75272,51,85.65,2020-01-01,2024-12-31,derived
Wonder,6444361,12789,7,503.9,2020-01-01,2024-12-31,derived
The Old Spaghetti Factory,6443126,5481,3,1175.54,2020-01-01,2024-12-31,derived
Mercedes Benz,6432948,47502,26,135.42,2020-01-01,2024-12-31,derived
Tin Drum Asian Kitchen,6401448,5756,4,1112.13,2020-01-01,2024-12-31,derived
D'Angelo Sandwich Shops,6394754,18060,13,354.08,2020-01-01,2024-12-31,derived
Lazy Acres Natural Market,6350707,1827,1,3476.03,2020-01-01,2024-12-31,derived
Martin's Foods,6342124,1827,1,3471.33,2020-01-01,2024-12-31,derived
tru by Hilton,6337169,37430,28,169.31,2020-01-01,2024-12-31,derived
Quaker Steak & Lube,6321570,4171,4,1515.6,2020-01-01,2024-12-31,derived
Blick Art Materials,6319465,17388,10,363.44,2020-01-01,2024-12-31,derived
Foodarama,6309745,6789,4,929.41,2020-01-01,2024-12-31,derived
The Broken Yolk Cafe,6294403,12577,8,500.47,2020-01-01,2024-12-31,derived
Hello Bistro,6268962,3654,2,1715.64,2020-01-01,2024-12-31,derived
Fallas,6262793,12470,16,502.23,2020-01-01,2022-07-31,derived
Gators Dockside,6262071,5694,4,1099.77,2020-01-01,2024-12-31,derived
The Meadows,6249599,6151,4,1016.03,2020-01-01,2024-12-31,derived
Wild Fork,6246438,6248,8,999.75,2020-01-01,2024-12-31,derived
California Tortilla,6241188,2648,2,2356.94,2020-01-01,2024-12-31,derived
Mattress Warehouse,6238202,31610,22,197.35,2020-01-01,2024-12-31,derived
NYCB,6234695,42600,40,146.35,2020-01-01,2022-11-30,derived
Cost Cutters,6228986,42618,34,146.16,2020-01-01,2024-12-31,derived
Showcase Cinemas,6228979,6759,4,921.58,2020-01-01,2024-12-31,derived
Top Star Express,6214627,11447,7,542.9,2020-01-01,2024-12-31,derived
United Way,6204973,77159,47,80.42,2020-01-01,2024-12-31,derived
Weight Watchers,6200393,111537,103,55.59,2020-01-01,2024-12-31,derived
Islands Restaurants,6199374,16926,10,366.26,2020-01-01,2024-12-31,derived
Mandee,6192315,14616,8,423.67,2020-01-01,2024-12-31,derived
Off Broadway Shoe Warehouse,6182992,7308,4,846.06,2020-01-01,2024-12-31,derived
El Tiempo Cantina,6169009,3654,2,1688.29,2020-01-01,2024-12-31,derived
GolfTec,6165496,32585,23,189.21,2020-01-01,2024-12-31,derived
Take 5 Oil Change,6163582,140901,118,43.74,2020-01-01,2024-12-31,derived
Gen Korean BBQ House,6161321,8648,6,712.46,2020-01-01,2024-12-31,derived
tavern in the square,6151924,5480,4,1122.61,2020-01-01,2024-12-31,derived
Crazy Bowls & Wraps,6148145,5481,3,1121.72,2020-01-01,2024-12-31,derived
The Little Gym,6142035,39599,34,155.11,2020-01-01,2024-12-31,derived
Strayer University,6140501,4171,3,1472.19,2020-01-01,2024-12-31,derived
Dmart Express,6126652,3654,2,1676.7,2020-01-01,2024-12-31,derived
South State Bank,6124409,47744,28,128.28,2020-01-01,2024-12-31,derived
Ryder,6119071,75645,49,80.89,2020-01-01,2024-12-31,derived
UGG,6112920,10962,6,557.65,2020-01-01,2024-12-31,derived
Hurricane Grill & Wings,6106924,18270,10,334.26,2020-01-01,2024-12-31,derived
J.Jill,6104928,40102,25,152.24,2020-01-01,2024-12-31,derived
G&W Foods,6084637,7308,4,832.6,2020-01-01,2024-12-31,derived
Lucky Brand,6084150,35682,28,170.51,2020-01-01,2024-12-31,derived
CARSTAR Auto Body Repair Experts,6074466,84295,68,72.06,2020-01-01,2024-12-31,derived
Town Star,6060529,3654,2,1658.6,2020-01-01,2024-12-31,derived
City Mattress,6056415,15957,9,379.55,2020-01-01,2024-12-31,derived
Famous Dave's,6050144,11572,8,522.83,2020-01-01,2024-12-31,derived
Winchell's Donut House,6044692,30662,17,197.14,2020-01-01,2024-12-31,derived
Tesla Service Center,6042734,42327,27,142.76,2020-01-01,2024-12-31,derived
Capital One,6039127,68815,63,87.76,2020-01-01,2024-12-31,derived
Macaroni Grill,6026685,6113,9,985.88,2020-01-01,2024-12-31,derived
All Uniform Wear,6016953,10962,6,548.89,2020-01-01,2024-12-31,derived
Doggie Style,6006310,9135,5,657.51,2020-01-01,2024-12-31,derived
Iron Hill Brewery and Restaurant,6004081,7308,4,821.58,2020-01-01,2024-12-31,derived
Bimbo Bakeries,6002652,9707,7,618.38,2020-01-01,2024-12-31,derived
Harvest Foods,5998359,5330,4,1125.4,2020-01-01,2024-12-31,derived
DTLR,5996746,25578,14,234.45,2020-01-01,2024-12-31,derived
Burgerville,5989703,3654,2,1639.22,2020-01-01,2024-12-31,derived
DXP Enterprises,5988171,27405,15,218.51,2020-01-01,2024-12-31,derived
First Convenience Bank (FCB),5986694,87665,48,68.29,2020-01-01,2024-12-31,derived
Ripley's Entertainment Inc,5976823,5267,3,1134.77,2020-01-01,2024-12-31,derived
Johnny Carino's,5974052,12575,7,475.07,2020-01-01,2024-12-31,derived
PCC Natural Markets,5973796,6942,4,860.53,2020-01-01,2024-12-31,derived
Terrain's Greenhouse Cafe,5967740,3654,2,1633.21,2020-01-01,2024-12-31,derived
Food Dynasty,5967231,5726,4,1042.13,2020-01-01,2024-12-31,derived
Colton's Steakhouse,5960735,9135,5,652.52,2020-01-01,2024-12-31,derived
Cosi,5956951,3806,3,1565.15,2020-01-01,2024-12-31,derived
Detail Garage,5952856,19482,14,305.56,2020-01-01,2024-12-31,derived
Greatwall Supermarket (GW),5950548,3654,2,1628.5,2020-01-01,2024-12-31,derived
L.L.Bean,5947835,8892,6,668.9,2020-01-01,2024-12-31,derived
