scenario_id,timestamp,time_minutes,phase_id,zone_id,access_mode,arriving_passengers,departing_passengers,distance_band,walking_pressure,data_type,confidence_type,assumption_note
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown_access,rail,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,penn_station_access,road,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,secaucus_transfer,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,meadowlands_access,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:00:00Z,-180,pre_match,stadium_egress,road,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,midtown_access,rail,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,penn_station_access,rail,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,secaucus_transfer,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_access,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,stadium_egress,rail,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,midtown_access,walk,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,penn_station_access,walk,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,secaucus_transfer,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_access,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,stadium_egress,walk,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,midtown_access,shuttle,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,penn_station_access,shuttle,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,secaucus_transfer,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_access,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,stadium_egress,shuttle,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,midtown_access,road,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,penn_station_access,road,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,secaucus_transfer,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_access,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,stadium_egress,road,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,midtown_access,rail,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,penn_station_access,rail,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus_transfer,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_access,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,stadium_egress,rail,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,midtown_access,walk,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,penn_station_access,walk,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus_transfer,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_access,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,stadium_egress,walk,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,midtown_access,shuttle,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,penn_station_access,shuttle,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus_transfer,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_access,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,stadium_egress,shuttle,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,midtown_access,road,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,penn_station_access,road,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus_transfer,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_access,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,stadium_egress,road,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,midtown_access,rail,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,penn_station_access,rail,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus_transfer,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_access,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,stadium_egress,rail,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,midtown_access,walk,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,penn_station_access,walk,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus_transfer,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_access,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,stadium_egress,walk,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,midtown_access,shuttle,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,penn_station_access,shuttle,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus_transfer,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_access,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,stadium_egress,shuttle,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,midtown_access,road,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,penn_station_access,road,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus_transfer,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_access,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,stadium_egress,road,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,midtown_access,rail,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,penn_station_access,rail,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus_transfer,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_access,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,stadium_egress,rail,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,midtown_access,walk,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,penn_station_access,walk,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus_transfer,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_access,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,stadium_egress,walk,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,midtown_access,shuttle,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,penn_station_access,shuttle,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus_transfer,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_access,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,stadium_egress,shuttle,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,midtown_access,road,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,penn_station_access,road,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus_transfer,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_access,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,stadium_egress,road,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,midtown_access,rail,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,penn_station_access,rail,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus_transfer,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands_access,rail,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,stadium_egress,rail,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,midtown_access,walk,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,penn_station_access,walk,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus_transfer,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands_access,walk,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,stadium_egress,walk,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,midtown_access,shuttle,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,penn_station_access,shuttle,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus_transfer,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands_access,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,stadium_egress,shuttle,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,midtown_access,road,0,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,penn_station_access,road,0,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus_transfer,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands_access,road,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,stadium_egress,road,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,midtown_access,rail,5,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,penn_station_access,rail,3,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,secaucus_transfer,rail,2,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,meadowlands_access,rail,2,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,stadium_egress,rail,2,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,midtown_access,walk,2,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,penn_station_access,walk,1,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,secaucus_transfer,walk,1,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,meadowlands_access,walk,1,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,stadium_egress,walk,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,midtown_access,shuttle,1,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,penn_station_access,shuttle,1,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,secaucus_transfer,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,meadowlands_access,shuttle,0,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,stadium_egress,shuttle,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,midtown_access,road,3,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,penn_station_access,road,2,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,secaucus_transfer,road,1,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,meadowlands_access,road,2,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,stadium_egress,road,1,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,midtown_access,rail,5,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,penn_station_access,rail,3,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,secaucus_transfer,rail,2,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,meadowlands_access,rail,2,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,stadium_egress,rail,2,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,midtown_access,walk,2,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,penn_station_access,walk,1,0,800m_to_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,secaucus_transfer,walk,1,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,meadowlands_access,walk,1,0,400m_to_800m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,stadium_egress,walk,0,0,under_400m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,midtown_access,shuttle,1,0,over_1600m,low,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
