scenario_id,timestamp,time_minutes,phase_id,edge_id,from_node,to_node,mode,scheduled_capacity,effective_capacity,service_frequency_minutes,disruption_factor,weather_factor,data_type,confidence_type,assumption_note
baseline,2026-07-19T12:00:00Z,-180,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:05:00Z,-175,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:10:00Z,-170,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:15:00Z,-165,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:20:00Z,-160,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:25:00Z,-155,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:30:00Z,-150,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:35:00Z,-145,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:40:00Z,-140,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:45:00Z,-135,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:50:00Z,-130,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:55:00Z,-125,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:55:00Z,-125,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:55:00Z,-125,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:55:00Z,-125,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:55:00Z,-125,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:55:00Z,-125,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:55:00Z,-125,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T12:55:00Z,-125,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:00:00Z,-120,gates_open,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:00:00Z,-120,gates_open,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:00:00Z,-120,gates_open,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:00:00Z,-120,gates_open,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:00:00Z,-120,gates_open,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:00:00Z,-120,gates_open,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:00:00Z,-120,gates_open,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:00:00Z,-120,gates_open,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:05:00Z,-115,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:05:00Z,-115,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:05:00Z,-115,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:05:00Z,-115,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:05:00Z,-115,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:05:00Z,-115,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:05:00Z,-115,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:05:00Z,-115,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:10:00Z,-110,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:10:00Z,-110,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:10:00Z,-110,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:10:00Z,-110,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:10:00Z,-110,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:10:00Z,-110,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:10:00Z,-110,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:10:00Z,-110,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:15:00Z,-105,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:15:00Z,-105,pre_match,penn_station_to_midtown,penn_station,midtown,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:15:00Z,-105,pre_match,penn_station_to_secaucus,penn_station,secaucus,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:15:00Z,-105,pre_match,secaucus_to_penn_station,secaucus,penn_station,rail,900,900,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:15:00Z,-105,pre_match,secaucus_to_meadowlands,secaucus,meadowlands,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:15:00Z,-105,pre_match,meadowlands_to_secaucus,meadowlands,secaucus,rail,600,600,5,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:15:00Z,-105,pre_match,meadowlands_to_stadium,meadowlands,stadium,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:15:00Z,-105,pre_match,stadium_to_meadowlands,stadium,meadowlands,walk,900,900,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
baseline,2026-07-19T13:20:00Z,-100,pre_match,midtown_to_penn_station,midtown,penn_station,walk,600,600,0,1.0,1.0,synthetic,scenario,Synthetic scenario assumption for FinalFlow demonstration; not observed event operations.
