BRAND,TOTAL_VISITS
Irving Oil,1632128
Isaacs Restauants,572252
Isabel Marant,32349
Island Fin Poke,995703
Island Pacific Seafood Market,2656467
Island Wing Company,3335028
Islands Restaurants,6199374
Isuzu,597449
It's Boba Time,8303941
It's Fashion,3815442
It's Just Wings,55611619
It'sugar,10392628
Italian Village Pizza,5321555
Itan Sun Spray Spa,630215
Ivan Smith Furniture,489346
Ivar's Seafood Restaurants,1002448
J Mclaughlin,5902615
J. Alexander's,6942233
J. B. Hunt Distribution,133403
J. Christopher's,2146071
J. Gilberts,1732278
J.Crew,19700449
J.D. Byrider,164815
J.Jill,6104928
JCPenney,167886274
JCPenney Optical,1752186
JD Sports,9398582
JEI Learning Center,1597114
JJ Fish & Chicken,1314600
JONS International Marketplace,11299355
JR Crickets,631528
JW Marriott,28155
JW Tumbles,90423
Jabz Boxing,27201
Jacadi,486432
Jack Stack,221827
Jack in the Box,1065808061
Jack's Convenience Stores,1250120
Jack's Family Restaurants,8829418
Jack's Urban Eats,3789516
Jackson Hewitt Tax Service,29651950
Jacksons Food Stores,922571
Jaeger Lumber,1613704
Jaeger-LeCoultre,261194
Jaguar,79545
Jake's Fireworks,432274
Jakes Uptown,182731
Jalapeno Tree,3332251
Jamba,160205916
James Avery Craftsman,8008427
James Coney Island,4070072
James Perse,1485900
Jameson Inn,456562
Janie and Jack,2725475
Jared Jewelers,6692754
Jasmine Thai Cuisine,224293
Jason's Deli,112781721
JdV by Hyatt,5818441
Jeep,301729
Jefferson Bank Texas,578784
Jefferson Dental Clinics (JDC),424252
Jefferson Wells,67162
Jefferson's,1902022
Jellystone Park Camp Resorts,242573
Jeni's Splendid Ice Creams,24363474
Jenni Kayne,1621622
Jennifer Convertibles,596587
Jenny Craig,6602491
Jenny Yoo,50472
Jeremiah's Italian Ice,20689680
Jerome's Furniture,1982348
Jerry's Artarama,925916
Jersey Mike's,781547170
Jersey Shore State Bank,772620
Jersey Strong,2669215
Jet Food Store,20108348
Jet's Pizza,18859057
Jetro Cash & Carry,787366
Jewel-Osco Pharmacy,608215
Jiffy Lube,71878563
Jiffy Stop Food Mart,276000
Jim N Nick's,120289
Jim's Restaurants,432298
Jimbo's,47124
Jimboy's Tacos,1986938
Jimmy Changas,3021181
Jimmy Choo,675618
Jimmy Jazz,4916018
Jimmy John's,566427363
Jimmy's Egg,1825265
Jinky's,1031984
Jinya Ramen Bar,12256876
Jittery Joes,5402406
Jo Malone London,660241
Jo-Ann Fabric and Craft Stores,1936599
Jockey,6927379
Joe & The Juice,3569789
Joe Coffee,76385
Joe Hudson's Collision Center,1838951
Joe V's Smart Shop,6895000
Joe's Crab Shack,9665979
Joe's Kwik Mart,30063798
Joey Restaurants,693564
John Deere,13604571
John Varvatos,551753
Johnnie’s New York Pizzeria,269230
Johnny Carino's,5974052
Johnny Rockets,9934599
Johnny Was,1457994
Johnny's Pizza New York Style,4194706
Johnson Controls,1080149
Johnson Fitness & Wellness,9580059
Johnston & Murphy,2500682
Johnstone Supply,1466467
Jolley Stores,540008
Jollibee,21595953
Jon Smith Subs,2208646
Jonathan Adler,1338967
Jones Road,193980
Jos. A. Bank Clothiers,1526401
Jose Peppers,2400120
Journeys,79754433
Joy Teriyaki,4193839
Joyalukkas,119882
Jreck Subs,16066400
Juan Pollo,5297942
Juan Valdez Café,2149035
Juice Crafters,1494670
Juice Generation,1495250
Juice It Up!,8019097
Juice Press,4071310
JuiceLand,7979923
Jules Thin Crust,3009459
Jumping World,614744
Jumpstreet,575245
Juniors Supermarket,13801253
Just Cuts,225079
Just Fitness 4 U,45707
Just Love Coffee Cafe,9543148
Just Salad,4154664
Just Tires,1263464
Just-A-Buck,1195844
Just-a-Cut,709537
K & G Fashion Superstore,4586249
K Bob's,365806
K&M Tire,1687495
K1 Speed,1556322
KEEN,81568
KFC,1184305814
KIKO Milano,373323
KITH,764860
KOA (Kampgrounds of America),1637451
KPMG,703379
Kabuki Japanese Restaurant,452607
Kahoots Pet Products,1004960
Kaia FIT,695062
Kaldis Coffee,3120968
Kale Me Crazy,2145408
Kane Is Able Inc.,112598
Kane's Furniture,7137511
Kangaroo Express,1382269
Kaplan Test Prep,25194488
Karate America,660112
Karns Quality Foods,3791369
Kate Spade,28139783
Katie's Korner,587932
Katoen Natie,14651
Katsuya Restaurant,160292
Kawasaki Motors,10545299
Kay Jewelers,28201882
KeHe Distribution,594686
Keevado,4517294
Keke's,3521584
Keller Logistics Group,224719
Keller Williams,5509758
Kelly Services,133854
Kelly-Moore Paints,4314596
Kellys Roast Beef,1018454
Kendra Scott,6457151
Kent Kwik,2100797
Kenzo,76394
Kerbey Lane Cafe,2077067
Kevin Jewelers,2010559
Key Food,167527137
Key West Inn,239694
KeyBank,10270090
Keyes Real Estate,118589
Keystone Automotive,2474996
Kia Motors,11628573
Kid City,288596
Kid to Kid,5587779
Kids Empire,938310
Kids Foot Locker,27390156
Kids and Company,107359
Kiehl's,3759988
Kilian,63179
Killer Burger,661320
Killiney Kopitiam,1324836
Kilwins,7444269
Kim's Convenience Stores,804373
Kimbrell's Furniture,57449
Kimpton Hotels & Restaurants,5768898
Kincaid Furniture,7550865
Kinder's,4432237
King Cash Saver,2299581
King Food Saver,4696063
King Kullen Grocery Co.,27907517
King Taco Restaurants,8548646
King's BierHaus,448824
King's Fish House,1255897
Kings Dining & Entertainment,23034
Kings Family Restaurant,1768599
Kings Food Markets,24906854
Kinney Drugs,23090443
Kipling,3284929
Kirkland's,18886555
Kitchen United,1739162
Klingensmith's,2381773
Kloss Furniture,264287
Kmart,7437454
Kneaders Bakery & Cafe,1665674
Knight-Swift,7117332
Knights Inn,5326007
Knockouts,460821
Kobe Steakhosue,658388
Kohl's,597263196
Kohler Signature Store,185073
Kolache Factory,7335937
Komatsu,428123
Kona Grill,8012558
Kontane Logistics,162100
Kreation Organic,3333947
Krewe,250817
Kriser's,712503
Krispy Kreme Doughnuts,93585880
Krispy Krunchy Chicken,111545063
Kroger,637640957
Kroger Fuel Center,229032101
Kroger Pharmacy,20072003
Kroger Specialty Pharmacy,473218
Krystal,56714734
Kuehne + Nagel,664762
Kuhn's Quality Food,9297826
Kum & Go,50374961
Kumon Institute of Education,1394445
Kung Fu Tea,25791535
Kura Sushi,5011313
Kwench Juice Cafe,1027829
Kwik Chek now TXB,6596256
Kwik Fill,175646896
Kwik Kar,5646358
Kwik Kopy,51646
Kwik Shop,15779070
L&L Hawaiian Barbecue,13420902
L&W Supply,333500
L'Occitane,2489181
L.L.Bean,5947835
LA Fitness,52324203
LA Mattress,459272
LANVIN,659927
LASIK MD,138591
LAUSD Adult and Career Education,282604
LBBW,139661
LBM Advantage,133829909
LEDO Pizza,3182376
LEE's Famous Recipes,4338696
LEGO,3499777
LEMONADE LA,4477645
LGI Homes,1207446
LIDS,54865617
LKQ,587744
LKQ Pick Your Part,4950161
LL Flooring,2538482
LOFT,19875539
LOFT Outlet,13246743
LOLË,102934
LONGINES,22458
LOTTE Hotels & Resorts,1440692
LUKOIL,117931636
LUSH,14110458
LUV Car Wash,611574
LXR Hotels & Resorts,22473
La Bou Bakery and Cafe,1343603
La Carreta,2871669
La Colombe,2817153
La Familia Pawn and Jewelry,400893
La Fiesta Supermarket,5312714
La Granja,8557043
La Madeleine,3470151
La Michoacana Meat Market,66744753
La Parrilla,10621189
La Perla,127251
La Quinta Inns & Suites,142628922
La Rosa Chicken & Grill,677034
La Salsa,650484
La Senza,60714
La Superior Supermercados,3993985
La-Z-Boy,3570932
LaMar's Donuts,2760099
LaVida Massage,348849
Label Shopper,7289095
Labor Finders,161107
Labor Ready,456478
Lacoste,4795966
Lacrosse Unlimited,2806136
Laderach,4188416
Ladle & Leaf,217787
Ladurée Paris,250594
Lady Foot Locker,538832
Lady Jane's Haircuts For Men,472413
Lake Michigan Credit Union,489939
Lakeshore Learning Materials,2851443
Lamppost Pizza,2495147
Lamps Plus,2282512
Land Rover,8211
Land's End,3250094
Landmark Furniture,560578
Landmark Theaters,1981062
Landry's Seafood,389530
Lane Bryant,18857264
Lanier Parking,15021480
Lapels Dry Cleaning,264005
Larry's Giant Subs,4761718
Laser Quest,61114
LaserAway,653326
LaserShip,1255647
Lasikplus,271489
Lassens Natural Foods and Vitamins,6450349
Launch Trampoline Park,857352
Lavelier's,772878
Lawrence Brothers Supermarkets,5776276
Lazy Acres Natural Market,6350707
Lazy Dog Restaurant & Bar,15121866
Le Boulanger,1166706
Le Creuset,3562058
Le Labo,272174
Le Macaron,307314
Le Meridien,4112219
Le Pain Quotidien,17842644
Le Peep,563125
Learning Express Toys,2920845
LearningRX,521601
Lee Myles Transmission & AutoCare,17847
Lee Wrangler Clearance Centers & Outlets,718361
Lee's Hoagie House,2869922
Lee's Sandwiches,4598107
Legal Sea Foods,5008655
Leizler Oil Company,5213276
Lemon Shark Poke,166628
Lemon Tree Family Salons,1317939
Lemos Feed & Pet Supply,919983
LendNation,1145430
Lennar Homes,11526634
Lenny's Sub Shop,2238545
LensCrafters,15763314
Lenwich,717378
Leonard,263308
Leonidas,2071142
Les Schwab,16511529
Leslie's Swimming Pool Supplies,14290756
Levain Bakery,234074
Levels Barber Shop,290167
Levi Strauss & Co.,30188680
Lexus,6816977
Liberty Bank,31071
Liberty Mutual Insurance,934445
Liberty Tax Service,7946110
Lidl,59857984
Life Storage,240665
Lifetime Fitness,12948584
Lilly Pulitzer,5197935
Lime Fresh Mexican Grill,5408762
Lincoln,2111651
Linde AMT,266760
Linde Engineering,620456
Linde Gas & Equipment,391719
Lindora Clinic,384532
Lindt,2099733
Lineage Logistics,1733178
Lion's Choice,14185013
Lion's Den,1265969
Lions Market,4756328
Lipton Mart Stores,823891
Liquivida Lounge,174504
Liquor Depot USA,969462
Lithia Auto Stores,58512
Little Caesars,361053924
Little Greek Fresh Grill,3128215
Little Sheep,2002535
Little Woodrow's,5213272
Living Spaces,9550041
Lizard Thicket,1021270
LoanMax,898116
Locale,191403
Locali,37174
Loco Pez,1013310
Loewe,203420
Loews Hotels,5883844
Logan's Roadhouse,7191374
Lola's Mexican Cuisine,202171
Lolli and Pops,3199451
Lone Star Food Stores,7687638
Lone Star National Bank,1049339
Lone Star Title Loans,5794446
Long John Silver's,77528657
LongHorn Steakhouse,169054277
Longchamp,763946
Look Cinemas,511861
LookAfter Hair Company,301790
Loop Neighborhood Market,13417914
Lord and Taylor,578560
Lorna Jane,104104
Loro Piana,127299
Los Cucos Mexican Cafe,10070201
Lost Pizza Co.,1321639
Lotus Dealers,7963
Lou & Grey,1029782
Louis Vuitton International,22644746
Louisiana Fried Chicken,2583971
Louisiana-Pacific Corporation,555913
Love's Travel Stops and Country Stores,229049925
Lovers,753734
Lovesac,1774397
Loving Hut Vegan Cuisine,1461977
Lovisa,9089458
Lowe's,653129583
Lowe's Distribution Centers,393944
Lowe's Market,28410253
Loya Insurance Group,2574351
Loyal Companion,267215
Lube N' Go,7397
Luby's,17785651
Lucchese Boot,1197991
Lucille's Smokehouse Bar-B-Que,1178427
Lucky Boy Burger's,357334
Lucky Brand,6084150
Lucky Strike Entertainment,175821
Lucky Supermarkets,60103862
Luke's Lobster,1151599
Luke's Locker,2705929
Lukfook Jewellery,351999
Lumberjacks Restaurant,306098
Luna Grill,11233218
Lunardi's Markets,24787091
Lunchbox Wax,802936
Lupe Tortilla,17042193
Luxe Hotels,179848
LyondellBasell Industries N.V.,178999
M&T Bank,21807683
MAACO,8225473
MAC Cosmetics,5195106
MAX&Co.,47609
MBT,8491293
MCM Worldwide,541813
MDV SpartanNash Distribution,52145
MEDCO,22717
MFA Oil,2379686
MGM Resorts,1580024
MINI,464827
MIllennium Hotels & Resorts,693601
MK Battery Distribution Center,512593
MOD Pizza,140066870
MOOYAH,19439263
MORSCO HVAC Supply,1407759
MOSCOT,409632
MVP Athletic Clubs,1328063
Macaroni Grill,6026685
Mack Trucks,128865
Mackenzie River,1087442
Macy's,272483415
Macy's Backstage,56689334
Mad Greens,1755535
Mad Mex,6537848
Madewell,15767800
Madison Reed,886755
Maersk,13988
Maggiano's Little Italy,12522783
Magnolia Bakery,15748
Magnuson Independent,1183911
Mahindra Dealer,5352591
Maid Rite,383811
Mail Boxes Etc,1159443
Main Event Entertainment,20928168
MainStay Suites,3977686
Mainstream Boutique,527100
Maison Kayser,1647765
Maison Kayser Boulangerie,920198
Maki of Japan,3644121
Malbec Argentinan Cuisine,253818
Malibu Eatery,245596
Malin & Goetz,111886
Mallory Alexander International Logistics,63148
Malone's Cost Plus,3342258
Mama Fu's Asian House,301801
Mambo Seafood,1326170
Mamoun's Falafel,8995265
ManCave for Men,182762
Manchu Wok,66945
Mancini's Sleepworld,1854239
Mandee,6192315
Mango,1505957
Mango Tours,123249
Manhattan Bagel,39241051
Manpower,821381
Manufacturers Bank,219321
Mapco,5339436
Maple Street Biscuit Company,20731731
Maplefields,3051151
Marathon,709979481
Marazzi,119026
Marble Slab Creamery,24537440
Marc Jacobs,2084773
Marciano by Guess,313049
Marco's Pizza,224439159
Marcus Theatres,736976
Mardel,791427
Marella,606108
Margaritas Mexican Restaurant,466468
Maria's Italian Kitchen,640808
Marie Blachère,2158291
Marie Callender's,2831637
Marimekko,284692
Marine Layer,3057658
MarineMax,142358
Mariner Finance,1805313
Mariscos El Paisa,1405678
Mark's Pizzeria,18550602
Market Basket,61351412
Market Basket Foods,23347311
Market District,7703119
Market Fresh,1758594
Market Square Supermarkets,1771578
Market Street,31992084
Market Street Pharmacy,12638707
Marlow's Tavern,1330201
Marmi,866941
Marriott Hotels,88381750
Marshalls,485719317
"Martin Marietta Materials, Inc.",4569950
Martin's Foods,6342124
Martinizing Dry Cleaners,515439
Marugame Udon,743329
Mary Browns Chicken and Taters,1807546
Mary's Mountain Cookies,271989
Mary's Pizza Shack,2331431
Maryland Fried Chicken,5191673
Marylou's Coffe,6854494
Maserati,51008
Mason's Lobster,1689423
MassMututal,13028388
Massage Envy,28453987
Massage Green,145477
Massage Heights,1443045
MasterCuts,807719
Mastro's Restaurants,1876610
Matador Men's Grooming,870495
Matchbox PIzza,33635
Mathis Home,80438
Mathnasium,14996568
Mattison Avenue Salon Suites & Spa,839350
Mattress Depot USA,3591615
Mattress Firm,10393240
Mattress Land,538844
Mattress One,204996
Mattress Warehouse,6238202
Mattress by Appointment,12307487
Maui Wowi,998238
Maverick Finance,25786
Maverik,189196
Mavis Discount Tire,50782598
Max & Erma's,5636947
Max Brenner,2230362
Max Mara,702314
Max Muscle,803715
Max Studio,26898
Max's Mexican Cuisine,198250
Max's Restaurant,996100
Maxor Pharmacy,1255764
Maxway,3282906
Mayors,449027
Mayweather Boxing + Fitness,2061392
Mazda,3731925
Mazzio's Italian Eatery,196874
McAlister's Deli,137678860
McCaffrey's Food Markets,5085718
McCall Service,12489
McCarthy Tire,113194
McConnell's Fine Ice Cream,999145
McCormick & Schmick's,27572
McCoy's Building Supply,20533737
McCraw Oil,133725
McDonald's,4539683382
McKinnons Market,1485090
McKinsey & Company,389995
"McLane Company, Inc Distribution",338190
McLendon Hardware,2620170
McMenamins,603275
Me-N-Ed's Pizzeria,4294810
Mechanics Bank,3901606
Medi Weightloss,2155244
Medicap Pharmacy,2413508
Mediterranean Grill,1716800
Meeks,3316030
Meet Fresh,2959319
Mega Furniture,1518459
Mega International Commercial Bank,201949
Meineke Car Care Centers,10809683
Mejuri,1220655
Mellow Mushroom,61267926
Melrose Family Fashions,22478825
Melt Shop,4752231
Members 1st Federal Credit Union,1719462
Menard's,11332986
Menchie's,40157815
Mendocino Farms,41033788
Mercedes Benz,6432948
Merck KGAA,501305
Mercurys Coffee,8553831
Merle Norman Cosmetics,4246545
Merrell,1162846
Merrill Lynch,3010139
Merry Maids,656702
Met Foodmarkets,7102144
Metabolic Research Center,1583713
Metal Supermarkets,909401
Metro City Bank,293462
Metro Diner,9547635
Metro Mattress,3888782
Metro by T-Mobile,41866322
Metropolitan Market,22109506
Mexican Inn Cafe,231167
Mexican Villa,497889
Mexico Lindo,200768
Mezeh Mediterranean Grill,397700
Mi Cocina,20844028
Miami Subs,17216832
Michael Kors,16956901
Michaels Stores,106667030
Micro Center,2152813
Microsoft Store,712451
Microtel Inn and Suites,12784999
Mid Penn Bank,1187962
MidFirst Bank,22312
Midas,19062969
Middlesex Savings Bank,884402
MidiCi Neopolitan Pizza,737353
Midland State Bank,196723
Midwest Dental,81834
Midwest Petroleum,1523844
Mighty Auto Parts,1186490
"Mighty Fine Burgers, Fries & Shakes",205695
Mighty Pilates,97599
Mighty Quinns BBQ,714641
Mighty Taco,21601725
Mighty Wash,522742
Miguel's Jr,8610337
Miguels California Mexicna Cocina,192838
Milan Laser,714391
Milk + Honey,362508
Milk Bar,546227
Miller Paint,412317
Miller's Ale House,45683724
MillerHome Furniture & Mattress,243037
Mimi's Cafe,6946799
Mini Mart,1657091
Mini U Storage,733756
MiniLuxe,466272
Miniso,12527039
Minit Mart,1831284
Minsky's Pizza,2462137
Minuteman Press,1136878
Mirabito Energy Products,784286
Miracle Eyebrows,43796
Miracle-Ear,8503196
Miraval Resorts,86772
Miss A,750516
Mission BBQ,23518338
Missouri Furniture,527853
Mister Car Wash,8312875
Mitchell Gold + Bob Williams,452020
Mitsubishi Motors,3105762
Mitsuwa Market Place,29718477
Miu Miu,408939
Mixt,3218164
Mizuho Bank,490349
Mo' Bettahs,1010642
Mobil,72264196
Mobile Kangaroo,257895
Mobile Mini,2163282
Mobily,364332
ModWash,691758
Modani Furniture,912858
Modell's Sporting Goods,5158449
Modern Animal,306343
Modern Market,9150082
Modo Yoga,797637
Moe's Original Bar B Que,439274
Moe's Southwest Grill,197171531
Moleskine,9382
Mollie Stone's Market,7088550
Molly Moon's,445264
Molson Coors Brewery,660946
Monarch Dental,615658
Moncler,1544603
Money Mart,444884
Moneytree,217936
Monkey Joe's,1553261
Monro,13907341
Monster Mini Golf,678421
Monster Self Storage,122546
Montage,548915
Montblanc,294628
Monterrey Mexican Restaurant,1121349
Moon Valley Nurseries,646719
Moove In Self Storage,610780
Mor Furniture for Less,2726637
Morgan Stanley,6589187
Morgan Truck Body,467430
Morgenthal Frederics,137428
Moroso,1151380
Morphe,1075617
Morrison Supply,750931
Morton Building,100890
Morton Williams Supermarkets,915518
Morton's The Steakhouse,2873836
Moser's,3512516
Motel 6,84474619
Mother's Market,2242654
Mother's Nutritional Centers,20571758
Motion Industries,8908797
Moto Guzzi,104227
MotoMart,2365818
Mountain Mike's Pizza,18651387
Mountain View Tire & Auto Service,1157521
Movado Company Store,215307
Move It Self Storage,536637
Movement Climbing,914592
Movie Tavern by Marcus,718624
Moxie's,3937146
Moxy Hotels,1311443
Mr Chow,183464
Mr Handyman,327187
Mr Jim's Pizza,5144629
Mr. Appliance,273263
Mr. Clean Car Wash,72700
Mr. Pickle's Sandwich Shop,3514063
Mr. Smoothie,4090348
Mr. Tire,7059001
Mr. Transmission,42445
MrBeast Burger,46901823
Mrs. Fields,5818169
Muchas Gracias Mexican Food,2690293
Mud Bay,13238321
Muji,549947
Mulberry,155605
Murco Wall,692754
Murdoch's Ranch & Home Supply,51515
Murmaid Mattress,67413
Murphy USA,476177885
Murphy's Deli,2247789
Muscle Maker Grill,5660198
Music & Arts,1039187
Music Go Round,198174
Mutual of Omaha,348522
Muvfitness,1207088
My Favorite Muffin,1626495
My Gym Children's Fitness Centers,9775388
My Pie,2071723
My Place Hotels,2286761
My Salon Suite,2165080
MyEyeDr.,2118662
MyEyeLab,1668330
MyFitnessStore.com,475509
Möge Tee,4190862
NAPA Auto Parts,74606881
NBT Bank,2716225
NCG Cinemas,4794548
NCR Corporation,706880
NORMS,2528869
NOVUS Glass,433313
NYCB,6234695
NYPD Pizza,2259812
Na Hoku,172582
Naf Naf Middle Eastern Grill,520634
Nail Garden,203783
Nails Plus,165440
Nancy's Pizza,1203880
Nathan's Famous,5450161
Nation's Giant Hamburgers,7144597
National Car Rental,1315966
National Pool Tile,90893
National TV Sales & Rental,77116
National Tire & Battery (NTB),8695033
National Tire Wholesale,2680317
Native Shoes,1275593
Natural Body,535290
Natural Grocers,27653452
Naturalizer,1729296
Natuzzi,2499896
Nautica,4539044
Nautical Bowls.,4184399
Navarro Discount Pharmacy,5379347
Navigate Wireless,84122
Navis Pack & Ship,252564
Navy Exchange,52747806
Navy Federal Credit Union,2848247
Nebraska Furniture Mart,2194445
Nefco,1926427
Neiman Marcus,20067374
Nespresso,2464028
Nest Bedding,542370
Nestlé Café,416181
Net Cost Market,20446535
Neuhaus,2461583
New Balance,13847072
New Seasons Market,464986
New York & Company,3162382
New York Life Insurance,3398374
New York Pilates,369446
New York Sports Club,3919632
NewMarket Corporation,344435
Newbury Comics,2739790
Newk's Eatery,24943679
Newport Creamery,452680
Newport Dental,105053
Nexair,163756
Next Generation Wireless,18886
Next Level Burgers,1032691
Nic+Zoe,421243
Nick's Restaurants,148597
Nifty after Fifty by Encore Wellness,401730
Nike,120173775
Nikita Hair,294320
Nissan,22937075
Nittany MinitMart,853395
Niyjia Market,8923251
Noah's New York Bagels,23350606
Nob Hill Foods,35654856
Nobu,1229221
Noodles & Company,23251698
Norco,48118
Nordstrom,97178567
Nordstrom Local,377586
Nordstrom Rack,74303871
Nori Japan,2541050
North American Van Lines Agent,2613565
North Cascades Bank,303853
North Easton Savings Bank,2196073
North Italia Restaurant,1329889
North Shore Bank,540018
North Shore Farms,14400169
Northern Bank,120704
Northern Lights Pizza Company,144572
Northern Tool + Equipment,39322006
Northgate González Markets,8501421
Northwest Bank,4844847
Northwest Exterminating,82803
Northwest Self Storage,1221030
Northwestern Mutual,2505650
Not Your Average Joe's,942335
Nothing Bundt Cakes,9001444
Nouria Energy Corporation,26004534
Novotel,556573
NrGize Lifestyle Cafe,7245064
NuCO2,1221487
Nugget Market,22420307
Numero Uno Markets,4782372
NutriMost,343225
Nutrien Ltd,525554
Nutrishop,1581904
Nutrition Smart,2186367
Nékter Juice Bar,38075805
O'Charley's,11826870
O'Reilly Auto Parts,280045060
"O-I Glass, Inc.",1489089
ODW Logistics,127803
OXXO Care Cleaners,53428
OYO,4136183
Oak + Fort,300708
Oak Valley Community Bank,277441
Oakley,6664907
Obicá,158331
Obsessed Boutique,588310
Ocean Dental,41309
Ocean Prime,2381684
Ocean State Job Lot,56413527
OceanFirst Bank,2262714
Octapharma,501956
October's Very Own,99680
OddFellows Ice Cream Co,908507
Off Broadway Shoe Warehouse,6182992
Office Depot,54849620
OfficeMax,13081848
Oggi's,356897
Oil & Vinegar,153294
Oil Changer,7100069
Oilstop,317895
Ojo de Agua,953627
Ojos Locos,7048070
Old Chicago Pizza and Taproom,8157298
Old Country Buffet,106375
Old Dominion Freight Line,166286
Old Navy,226680361
Old Time Pottery,7461401
Olive Garden,244098339
Oliver Peoples,273805
Ollie's Bargain Outlet,188929592
Olympia Sports,5206074
Omaha Steaks,636527
Omega Watches,33431
Omni Hotels & Resorts,15699051
On Running,2890711
On The Border,20609113
On The Run Convenience,5915299
OnPoint Community Credit Union,457081
OnTrac,239103
OnTrac Dropbox,892235
Once Upon a Child,27582992
One Hour Heating & Air Conditioning,278342
OneMain Financial,1666032
OneWest Bank,1231207
Onelife Fitness,1706157
Ono Hawaiian BBQ,51782670
Oportun,1031438
Oppenheimer,819773
Optica USA,253144
Optical Outlets,1930371
Optimum,1587357
Orange County Mattress,661488
Orange Julius,25291395
Orange Leaf Frozen Yogurt,5347519
Orangetheory Fitness,136201378
Oreck,404524
Original ChopShop,2231396
Original Roadhouse Grill,1914249
Original Tommy's,1004296
Origins,257823
Oritani Bank,25153
Orkin,55252
Orrstown Bank,639321
Ortho Mattress,2523047
Orvis,1092194
OshKosh B'gosh,18982955
Ostioneria Michoacan Seafood & Oyster Bar,11141125
Out of the Closet,3333083
Outback Steakhouse,159276953
Outdoor Voices,589671
Owens Healthcare,2686255
Oxford Learning,881018
Oxygen Yoga And Fitness,11583
P. Terrys,9721263
P.C. Richard & Son,19381870
P.F. Chang's China Bistro,88905523
PACCAR Parts Distribution,446472
PACK-RAT,363571
PCC Natural Markets,5973796
PDQ,10327339
PEMEX,1239941
PETE'S,1947201
PFSweb,121257
PGA TOUR Superstore,19258489
PIP Printing and Marketing,143227
PJ Whelihan's Pub & Restaurant,3586177
PJ's Coffee,1213497
PLAYlive Nation,324463
PLNT Burger,493718
PLS Financial Services,506005
PMZ Real Estate,95707
PNC Financial Services,26752580
PODS,3623106
"PPG Industries, Inc.",2123045
PPG Pittsburgh Paints,2748143
PUMA,12068562
PacSun,26368925
Pacific Catch,3394005
Pacific Power Batteries,89694
Pacific Sales,146191
Pacific Western National Bank,953009
Pacifica Pizza,214042
Paciugo Gelato Caffe,2360427
Packaging Corporation of America,4847631
Pagliacci,903731
Paige,676543
Painted Tree,1660957
Painting with a Twist,1759093
Pak N Save,9786278
PakMail,638236
Pallio's Pizza Cafe,5355371
Palm Angels,624951
Palm Beach Tan,6447316
Palmetto Moon,2271705
Pan Pacific,121360
PanIQ Escape Room,179058
Pancheros,2794709
Panda Express,988549734
Panda Inn,224071
Pandora,17762440
Panera Bread,608881572
Panini Kabob Grill,1215071
Papa Gino's,7137134
Papa John's,785814169
Papa Murphy's,53765188
Papa Razzi,169569
Papa's Pizza To-Go,1028240
Paper Source,7054927
Pappadeaux Seafood Kitchen,12300815
Pappas Bar-B-Q,24182051
Pappas Restaurants,1504122
Pappasito's Cantina,938192
Par Mar Stores,2264702
Parachute,2748177
Paradise Bakery & Cafe,1221979
Paragon Theaters,4347328
Parcel Plus,130571
Paris Baguette,50637101
Park Avenue BBQ Grill,330381
Park Hyatt,2397902
Park Inn by Radisson,1796903
Parker Hannifin,7719873
Parker's,321932
Parker's Corp,1243895
Parry's Pizzeria & Bar,29866
Parts Authority,4372811
Parts Plus,243380
Party City,63456202
Pasion Del Cielo Coffee,2190689
Pastosa Ravioli,278062
Patagonia,1197682
Patel Brothers,24036850
Patio Enclosures,489461
Pats Select Pizza & Grill,2738536
Paul Davis Restoration,46759
Paul Martin's American Grill,165502
Paul Smith,398216
Paul Stuart,127944
Paul&Shark,234244
Paula Deen's Family Kitchen,2174555
Pavilions,38766841
Pawn 1,1491012
Pay-O-Matic,716173
Payless Car Rental,513926
Peace Love and Little Donuts,301240
Peach's Restaurant,833780
Peachwave Yogurt,1920633
Peapack-Gladstone Bank,1264858
Pear Tree Inn,2618524
Pearle Vision,2122571
Peerless Tires 4 Less,155942
Peet's Coffee and Tea,51818740
Pei Wei Asian Diner,28832517
Pelican's SnoBalls,684324
Pelicana,928490
Pella,590367
Peloton,637512
Pendleton,741498
Pendry,1328391
Penguin,647353
Penhaligon's,115978
Penn Entertainment,2563179
Penn Station,17276646
Pennzoil,333043
Penseys,858086
Penske Truck Rental,34282587
People's United Bank,2105194
Peoples Bank and Trust Kansas,160559
Peoples National Bank,99055
Peoples Services,28345
PeoplesBank,659022
"PeoplesBank, A Codorus Valley Company",2288929
Pep Boys,58498342
Pepper Lunch,415745
Pepper Palace,552059
Pepperjax Grill,20093
Perfect Look Salon,623487
Performance Foodservice,1184888
Perfumania,3261004
Perfumes 4 U,755356
Perkins Restaurant & Bakery,11425615
Perko's Cafe Grill,449008
Perry Ellis,3173856
Perry's Steakhouse & Grille,3554530
Perspire Sauna Studio,1173622
Pet Club Food and Supplies,2590585
Pet Depot,985954
Pet Food Express,17311339
Pet Paradise Resort and Day Spa,682186
Pet Pros,2019245
Pet Supermarket,62394076
Pet Supplies Plus,77652908
Pet's Barn,4005520
PetPeople,15725
PetSmart,168992777
PetSuites,2990783
PetVet,11549082
Petco,224885992
Pete and Mac's,38424
Peter Millar,412268
Peter Piper Pizza,21728227
Peterbilt,1229975
Petfolk,706938
Petland,9699272
Petro Home Services,85541
Petro-Mart,9205210
Petros Restarants,526803
