zone_id,zone_name,latitude,longitude,business_opportunity_score,mobility_risk_score,placement_class,data_confidence,reason,data_type,scenario_id,assumption_note
ZONE_013,MetLife Sector 13,40.814326,-74.077719,59.78,82.03,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_014,MetLife Sector 14,40.80786,-74.077989,44.07,60.65,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_015,MetLife Sector 15,40.808425,-74.071962,42.79,37.12,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_016,MetLife Sector 16,40.811913,-74.070331,22.95,37.94,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_017,MetLife Sector 17,40.810562,-74.074616,68.77,68.08,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_018,MetLife Sector 18,40.814543,-74.071389,60.21,81.77,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_019,MetLife Sector 19,40.810876,-74.073315,24.12,80.97,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_020,MetLife Sector 20,40.809363,-74.076335,42.29,72.39,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_021,MetLife Sector 21,40.817997,-74.073316,92.66,61.36,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_022,MetLife Sector 22,40.812923,-74.069786,39.16,16.73,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_023,MetLife Sector 23,40.813803,-74.074507,31.59,22.93,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_024,MetLife Sector 24,40.809326,-74.069706,59.16,81.88,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_025,MetLife Sector 25,40.811967,-74.082259,98.85,58.51,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_026,MetLife Sector 26,40.813933,-74.071934,39.36,10.74,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_027,MetLife Sector 27,40.810147,-74.074139,73.77,18.12,Recommended,scenario,Synthetic scenario: high opportunity and low risk scores under heuristic thresholds,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_028,MetLife Sector 28,40.814727,-74.075297,80.93,63.08,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_029,MetLife Sector 29,40.811798,-74.074125,39.01,10.4,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_030,MetLife Sector 30,40.812725,-74.080363,78.26,22.86,Recommended,scenario,Synthetic scenario: high opportunity and low risk scores under heuristic thresholds,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_031,MetLife Sector 31,40.811795,-74.075059,49.42,53.9,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_032,MetLife Sector 32,40.819157,-74.073329,70.58,65.35,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_033,MetLife Sector 33,40.81356,-74.069966,70.68,62.16,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_034,MetLife Sector 34,40.810427,-74.075955,62.86,27.94,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_035,MetLife Sector 35,40.816068,-74.076825,27.22,66.97,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_036,MetLife Sector 36,40.809937,-74.075905,86.82,28.98,Recommended,scenario,Synthetic scenario: high opportunity and low risk scores under heuristic thresholds,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_037,MetLife Sector 37,40.814227,-74.071654,45.66,36.03,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_038,MetLife Sector 38,40.807721,-74.073414,34.92,69.72,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_039,MetLife Sector 39,40.809615,-74.075989,23.26,61.97,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_040,MetLife Sector 40,40.814191,-74.07286,67.27,77.94,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_041,MetLife Sector 41,40.815815,-74.074109,74.21,62.61,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_042,MetLife Sector 42,40.814114,-74.071494,21.33,55.46,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_043,MetLife Sector 43,40.813253,-74.076506,60.97,17.49,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_044,MetLife Sector 44,40.812697,-74.075383,38.12,39.42,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_045,MetLife Sector 45,40.809164,-74.075576,71.61,31.22,Recommended,scenario,Synthetic scenario: high opportunity and low risk scores under heuristic thresholds,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_046,MetLife Sector 46,40.81144,-74.078791,33.95,29.52,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_047,MetLife Sector 47,40.812218,-74.073512,75.28,87.84,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_048,MetLife Sector 48,40.816771,-74.073617,50.94,41.45,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_049,MetLife Sector 49,40.814631,-74.074385,94.94,81.36,Avoided,scenario,Synthetic scenario: risk score exceeds the avoidance threshold,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
ZONE_050,MetLife Sector 50,40.808311,-74.075104,31.0,60.49,Controlled,scenario,Synthetic scenario: scores fall in the controlled placement band,synthetic,vendor_zones_seed_42_v1,"Synthetic scenario: coordinates and scores are randomly generated with seed 42; placement classes use heuristic thresholds, not observed evidence."
